Square;LifeSquare;KitchenSquare;m_sq;Price
3.294057;-0.6371404;1.2444657;-0.9753749;305018.88
-0.9148973;-0.6371404;0.2658044;0.46104625;177734.55
1.2406447;1.032212;1.2444657;-0.22247475;282078.72
-0.8825788;-0.6371404;-0.7128568;0.221402;168106.0
0.45380953;0.010978506;0.75513506;1.1664617;343995.1
0.35548562;0.9685198;-0.7128568;-1.0358063;161044.94
-1.2447954;-0.6371404;0.75513506;0.24985132;142402.73
-0.32385138;-0.6245849;0.2658044;2.056458;326174.2
-0.51997995;0.6909765;-0.7128568;-0.3650287;160400.4
1.3260196;-0.6371404;-0.7128568;-1.1445541;194756.03
1.0087351;0.7030569;1.2444657;2.4042633;512797.38
-0.12327811;-0.4832935;0.2658044;0.641632;253124.0
-0.48211083;-0.6371404;2.7124577;0.24955842;199556.86
-0.6888462;-0.6371404;-0.7128568;0.7729767;213001.52
1.4450939;0.58567053;1.2444657;1.5786874;481360.38
-1.0917257;-0.6371404;0.75513506;0.55851334;168143.34
-0.63543445;-0.6371404;0.2658044;0.59595215;207633.66
-0.37959114;-0.6371404;-0.7128568;-0.076029465;186971.92
-0.4811011;0.5222977;-0.7128568;-0.9315398;128803.59
-0.7730162;0.173535;-0.7128568;1.6113613;250466.98
-0.29121423;-0.63265175;-0.7128568;0.9727824;260328.4
1.0877709;1.0123299;0.2658044;0.7709965;366916.25
1.6875494;0.85567385;1.2444657;0.79755557;421803.75
-1.0077132;-0.6371404;0.75513506;0.958587;194273.05
-0.6702113;-0.8946541;-0.7128568;-0.64777917;135466.56
0.5167747;2.8839245;-0.7128568;-0.7599724;191205.27
1.5160543;-0.6371404;-0.7128568;0.8361551;410883.9
-0.1797127;-0.5236799;0.2658044;0.455914;235998.2
-1.234255;-0.6371404;-0.7128568;0.9464895;173155.77
-0.1666856;-0.6732622;0.75513506;-1.6764834;94061.945
-0.73573154;-0.7805414;-0.7128568;-1.7396725;72659.97
-0.46681932;-0.6371404;-0.7128568;0.79714644;233717.3
2.7198591;-0.6371404;0.2658044;1.4714828;600903.8
0.9592497;-0.6371404;-0.7128568;-0.3304001;254005.38
0.1458739;1.9032034;1.7337962;-1.2113196;138396.98
0.5404511;3.2877061;-0.7128568;-0.7484396;193398.61
-0.5271287;-0.6371404;-0.7128568;0.3717621;203384.33
1.2738904;-0.6371404;-0.7128568;-0.805586;226206.97
-0.0367057;0.10756763;-0.7128568;-1.7472228;93217.75
0.029957961;-0.22539368;-0.22352624;1.106335;299177.5
-1.2976213;-0.6371404;-0.7128568;0.7348587;158611.39
1.3847345;1.6140267;0.2658044;-0.052745942;308656.4
-0.16779721;1.3653743;-0.7128568;1.5176607;308108.22
-1.2933217;-0.6371404;-0.7128568;0.6269031;154480.97
1.3217257;0.40810373;-0.7128568;-1.1542315;193595.8
-0.64931756;-0.77700067;-0.7128568;2.2837949;301309.75
2.4055672;3.1504984;0.75513506;-0.18170618;362108.44
0.32624546;-0.6371404;-0.7128568;-0.55841553;197006.12
-0.90188944;0.0301233;0.2658044;0.10534373;160810.55
0.42615843;0.25706142;1.2444657;-1.9401046;91594.31
1.2368948;2.2271497;-0.7128568;0.8526941;387904.12
0.36774638;-0.6371404;0.2658044;3.9470708;555661.94
-1.1114019;-0.6371404;-0.7128568;0.54495835;165911.16
0.07716255;-0.6315933;0.2658044;0.43168455;254688.11
-1.0266194;-0.6371404;0.75513506;1.0860779;198633.62
-0.792467;-0.6371404;2.7124577;0.32804343;180450.69
-0.8555086;-0.6371404;1.2444657;0.2488316;171531.56
1.2818673;1.7977105;-0.7128568;-1.0632827;200932.34
-1.1539136;-0.6371404;-0.22352624;0.7292956;170703.88
-0.22910868;-0.4985988;-0.7128568;-0.7110591;155463.1
1.7770296;0.7309643;2.223127;-1.2502105;202696.05
-0.7351655;-0.6371404;-0.7128568;-0.77695864;124902.555
-0.6441783;-0.6371404;-0.7128568;-1.6520184;80356.32
-1.4114234;-0.6371404;-0.7128568;-0.05692301;117941.29
1.7364852;-0.6371404;-0.7128568;-0.34798804;300180.38
-0.83412594;-0.6371404;0.2658044;0.41623893;181842.47
-0.48322585;-0.6371404;0.2658044;1.1000392;250434.88
1.08127;1.1843282;-0.22352624;1.3625555;422637.78
1.9279083;2.670238;0.2658044;1.5333241;526817.56
-0.027750932;-0.67602015;0.2658044;0.10586017;223528.98
-0.9891253;-0.6371404;-0.7128568;-0.42206645;128959.85
-0.48248878;-0.6371404;-0.7128568;-0.9072786;130190.64
-1.1031065;-0.6371404;0.75513506;0.0584158;144224.83
-0.89554906;-0.6371404;0.75513506;1.0946494;211360.7
-1.0530016;-0.6371404;-0.7128568;-1.1269222;91945.05
-0.62072116;-0.6371404;-0.7128568;0.9439848;228628.22
0.022628326;-0.9217609;0.2658044;1.1022376;298194.5
-0.9913156;0.1300336;-0.7128568;2.024508;247440.53
0.48654017;2.8128064;0.2658044;0.4906505;291872.4
-0.49664605;-0.6371404;-0.7128568;0.087953396;188832.7
-0.9891808;-0.6371404;-0.22352624;0.5221047;174776.03
-1.230983;-0.6371404;-0.7128568;0.27694616;144605.5
-0.8757646;-0.6371404;1.2444657;0.15659867;165302.12
-0.19585596;-0.5639568;0.2658044;1.3771243;295873.56
0.50469226;0.08779033;-0.7128568;-1.14922;158591.8
2.3580441;2.8573477;3.2017882;0.75047714;474500.6
0.15598191;0.12064915;-0.7128568;-1.915651;86480.95
-0.5845434;-0.6371404;-0.7128568;0.026683612;179032.67
0.20500231;-0.23897298;-0.7128568;0.97372925;305673.94
-1.0543854;-0.161429;1.2444657;-0.7729842;108540.77
